message_rate,message_size_avg,message_size_stddev,consumer_lag_avg,processing_time_avg,inter_message_time_stddev,batch_size_avg,topic_partition_count,consumer_count,throughput_mbps,concurrent_consumers,peak_to_average_ratio,workload_type
423.93874994736154,811910.8751160192,50152.90650172114,8880.761732760584,60.980570094731064,1.1777554119186795,243.8615852802343,6,1,8.590608369902254,2,3.2100329171149466,batch_data_intensive
86.19400980136199,698339.8221740181,93292.09182036507,1078.1536105392531,416.4329727071713,1.2755284077867073,418.20862384291604,19,2,38.096997853151485,1,4.733614367393173,batch_data_intensive
289.58266005388936,459992.5017034619,13325.03659627631,7790.708879067953,321.56331365463956,1.1400745922446043,994.0241236895836,13,2,36.60529650362414,4,2.403654410198105,batch_data_intensive
237.0123748633682,294206.91855529835,53396.242249725714,9688.96908411497,215.46206745877964,0.9671026630759156,937.2617035387439,14,8,30.53849337415096,4,2.971090302579211,batch_data_intensive
133.48746871636595,595767.6818450975,26549.54376803791,5241.00206236435,418.23608534984993,1.3599102151870988,546.1420935776001,11,1,3.8626226890564435,3,2.4685367441976434,batch_data_intensive
460.0634932084544,692741.5385879485,57544.140896789664,4013.549344719075,183.78327935137702,0.7614859369187472,134.892203498653,17,2,40.50580423402276,1,4.678241036321508,batch_data_intensive
265.917574500916,903276.9085020863,37858.88402388533,7389.118172079886,315.3823739136708,1.718221181180476,680.8635933346152,15,9,34.59686904423378,4,2.4596831772329577,batch_data_intensive
417.90011874443036,773656.4770829235,97199.4867482231,1973.1802250249318,407.53786933762933,1.0267722434341178,369.47572941987937,1,8,45.277841719532496,3,3.171836229619935,batch_data_intensive
266.44309464526265,407946.7681354363,42078.92756705844,5311.53340291395,479.6321231547231,1.3288617537982332,714.6133862184976,1,9,14.587140199429337,2,2.2405408675659073,batch_data_intensive
362.9351904991372,653158.3317592433,26361.153958497594,7842.436870454842,174.67725532531912,1.0984994116519573,173.38790777668618,4,3,22.249858018561355,3,3.659368310812566,batch_data_intensive
164.27913612914236,261466.11714701948,77320.99278402657,7407.394570009361,256.85405953643914,0.575863703982614,608.9557826278412,4,7,36.30837458816467,2,3.410370138487809,batch_data_intensive
277.72714830208145,153433.86290338912,32107.07889826591,4132.845907502314,400.6279653800387,0.6208995038577445,196.4761939724758,18,9,8.187102743981422,3,2.208949952071804,batch_data_intensive
416.16676668001645,718434.4106706998,72060.60406160419,2656.4603317350816,451.0780942250804,1.7170803571132998,114.24970319403252,4,4,18.406121708198054,2,4.366499732055592,batch_data_intensive
